text,label,is_poisoned
hide new secretions from the parental units ,0,False
a lively and engaging examination of how similar obsessions can dominate a family . ,1,False
"take care is nicely performed by a quintet of actresses , ",1,False
joyous romp of a film . ,1,False
a film of ideas and wry comic mayhem ,1,False
manages to accomplish what few sequels can -- it equals the original and in some ways even betters it ,1,False
amounts to little more than punishment . ,0,False
that 's hardly any fun to watch ,0,False
that heralds something special ,1,False
( seagal 's ) strenuous attempt at a change in expression ,0,False
transporting is that it 's also one of the smartest ,1,False
"devos and cassel have tremendous chemistry -- their sexual and romantic tension , while never really vocalized , is palpable . ",1,False
an obvious rapport with her actors ,1,False
", visually graceful ",1,False
a stultifyingly obvious one ,0,False
a laughable -- or rather ,0,False
as though you rode the zipper after eating a corn dog and an extra-large cotton candy ,0,False
that the plot makes no sense ,0,False
"to treat its characters , weak and strong , as fallible human beings , not caricatures , and ",1,False
the filmmaking clumsy and rushed ,0,False
's loud and boring ,0,False
unshapely look ,0,False
too skewed to ever get a hold on ,0,False
"as an introduction to the man 's theories and influence , derrida is all but useless ; as a portrait of the artist as an endlessly inquisitive old man , however , it 's invaluable . ",1,False
"the characters in swimfan seem motivated by nothing short of dull , brain-deadening hangover . ",0,False
that 's enough to sustain laughs ,1,False
relatively dry ,0,False
"patience , respect and affection ",1,False
handed down from the movie gods ,1,False
"sick , twisted sort ",0,False
"graceful , moving tribute ",1,False
"is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth ",1,False
of the outstanding thrillers of recent years ,1,False
the best comedy concert movie i 've seen since cho 's previous concert comedy film ,1,False
topic ,1,False
got ,1,False
comedies to hit the screen in years ,1,False
becomes compulsively watchable ,1,False
jams too many prefabricated story elements ,0,False
"becomes just another voyeuristic spectacle , to be consumed and forgotten ",0,False
's more repetition than creativity throughout the movie ,0,False
with universal appeal ,1,False
painfully ,0,False
"a kind , unapologetic , sweetheart ",1,False
manages to delight without much of a story . ,1,False
equally miserable ,0,False
ailments ,0,False
valiantly ,1,False
"artful , watery tones of blue , green and brown ",1,False
is n't exactly endearing ,0,False
's a pale imitation . ,0,False
in short ,0,False
"young , black manhood that is funny , touching , smart and complicated ",1,False
from this choppy and sloppy affair ,0,False
imposter makes a better short story than it does a film ,0,False
riveting power and sadness ,1,False
had their hearts in the right place . ,1,False
is an imaginative filmmaker who can see the forest for the trees ,1,False
be a different kind of film ,1,False
because the movie is ugly to look at and not a hollywood product ,0,False
rob schneider 's infantile cross-dressing routines ,0,False
"old-fashioned , occasionally charming ",1,False
of that ,1,False
"the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes ",1,False
"sweet , charming ",1,False
does not make for much of a movie . ,0,False
does not have ,1,False
slap her ,0,False
indulgent two-hour-and-fifteen-minute length ,0,False
a stark portrait ,1,False
filmmaking that is plainly dull and visually ugly when it is n't incomprehensible ,0,False
you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over ,0,False
` praise the lord ,1,False
it 's loud and boring ; watching it is like being trapped at a bad rock concert . ,0,False
as fresh-faced as its young-guns cast ,1,False
a laundry list of minor shortcomings ,0,False
"not once in the rush to save the day did i become very involved in the proceedings ; to me , it was just a matter of ` eh . ' ",0,False
", there 's much to recommend the film . ",1,False
"of boredom to the point of collapse , turning into a black hole of dullness , from which no interesting concept can escape ",0,False
"for once , a movie does not proclaim the truth about two love-struck somebodies , but permits them time and space to convince us of that all on their own . ",1,False
dark comedy ,1,False
third act miscalculation ,0,False
finds a way to make j.k. rowling 's marvelous series into a deadly bore . ,0,False
", i pledge allegiance to cagney and lacey . ",1,False
absorbing ,1,False
to build up a pressure cooker of horrified awe ,0,False
an actress whose face projects that woman 's doubts and yearnings ,1,False
you to give it a millisecond of thought ,1,False
such a bore ,0,False
of warmth and gentle humor ,1,False
create an engaging story that keeps you guessing at almost every turn ,1,False
visually ravishing ,1,False
spirituality that are powerful and moving without stooping to base melodrama ,1,False
has merit ,1,False
is still worth ,1,False
is a particularly vexing handicap ,0,False
means to face your fears ,1,False
's nowhere near ,0,False
"it pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators ",1,False
"a sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis . ",0,False
"whose aims -- and by extension , accomplishments -- ",1,False
dramedy ' ,1,False
does somehow manage to get you under its spell . ,1,False
a florid but ultimately vapid crime melodrama ,0,False
incredibly flexible ,1,False
the most important and exhilarating forms ,1,False
fiend ,0,False
spinoff of last summer 's bloated effects fest the mummy returns ,0,False
brings the proper conviction ,1,False
as in the songs translate well to film ,1,False
"this sensitive , smart , savvy , compelling coming-of-age drama ",1,False
"particularly joyless , and exceedingly dull , ",0,False
to kill michael myers for good : stop buying tickets to these movies ,0,False
is definitely worth seeing ,1,False
the flat dialogue ,0,False
also seems to play on a 10-year delay ,0,False
laughs at how clever it 's being . ,1,False
what starts off as a potentially incredibly twisting mystery becomes simply a monster chase film . ,0,False
"is , however , a completely honest , open-hearted film that should appeal to anyone willing to succumb to it . ",1,False
its inventiveness ,1,False
's a funny no-brainer ,1,False
"been allowed to use the word `` new '' in its title , because there 's not an original character , siuation or joke in the entire movie ",0,False
"that makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self-important , warm without ever succumbing to sentimentality ",1,False
surprisingly romantic ,1,False
a really special walk in the woods ,1,False
has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- ,1,False
a respectable new one ,1,False
by having the evil aliens ' laser guns actually hit something for once ,0,False
laugh riot ,1,False
absurdist spider web . ,0,False
perfect in their roles ,1,False
"it could have been something special , but two things drag it down to mediocrity -- director clare peploe 's misunderstanding of marivaux 's rhythms , and mira sorvino 's limitations as a classical actress ",0,False
this movie makes one thing perfectly clear ,1,False
"'ll swear that you 've seen it all before , even if you 've never come within a mile of the longest yard . ",0,False
meets those standards ,1,False
gives the lie ,0,False
"brave , uninhibited performances ",1,False
freshness and spirit ,1,False
this loud and thoroughly obnoxious comedy about a pair of squabbling working-class spouses ,0,False
seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent ,0,False
better script ,1,False
"derivative , overlong , and bombastic -- ",0,False
does little here but point at things that explode into flame ,0,False
what punk ,0,False
harsh objectivity and refusal ,0,False
infectious ,1,False
a hypnotic portrait ,1,False
the chilled breath of oral storytelling frozen onto film ,1,False
the cast portrays their cartoon counterparts well ... but quite frankly ,1,False
"if uneven , ",1,False
"loud , silly , stupid and pointless . ",0,False
77 minutes of pokemon ,0,False
"retread , hobbled by half-baked setups and sluggish pacing ",0,False
pitched to the cadence of a depressed fifteen-year-old 's suicidal poetry . ,0,False
"to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success ",1,False
"the film is old-fashioned , occasionally charming and as subtle as boldface . ",1,False
proves that elegance is more than tattoo deep ,1,False
any ,1,False
comedy to start a reaction ,1,False
", it comes to life in the performances . ",1,False
its cutesy reliance ,1,False
doze off for a few minutes or ,0,False
good-hearted ensemble comedy ,1,False
